VKGroup_1;VkGroup_2;Quantity;vk1_custom_id;vk2_custom_id
33080201;34199707;30;520;561
1388;41437811;22;12;767
108468;29302425;35;41;375
29302425;49932389;20;375;932
38683579;36147615;37;699;639
29302425;28673372;36;375;353
33080201;36147615;33;520;639
33301261;36184135;31;529;642
78019879;51345945;63;1238;960
33393308;34116496;60;537;556
26858816;28673372;24;309;353
22741084;26858816;21;178;309
20629724;30666517;106;168;437
125004421;9471321;23;1431;108
32943546;38415798;20;519;693
27797026;36147615;45;328;639
48319873;29559271;37;905;388
22741624;23148107;23;179;189
33338722;34305040;54;531;568
29246653;43879004;20;373;822
23213239;28950133;50;192;363
17655824;1672730;20;150;69
27895931;28950133;38;330;363
29559271;35486195;47;388;618
29559271;45938293;87;388;861
43215063;32370614;20;814;506
29559271;1672730;26;388;69
32015300;34274053;26;493;565
78019879;32194285;53;1238;502
36045680;36209322;21;635;644
25346844;39236729;25;257;712
22822305;31976785;26;183;491
41538339;42092461;20;771;787
30022666;46117626;27;408;865
25346844;32194285;74;257;502
27797026;25117353;23;328;247
27895931;33338722;28;330;531
90730773;34274053;27;1301;565
23213239;32194285;43;192;502
17655824;22822305;36;150;183
25817269;90730773;24;275;1301
22741084;28673372;20;178;353
40167434;25153764;59;733;249
29348258;30559917;22;377;431
29559271;1388;23;388;12
932;40575907;38;8;747
45613675;90730773;21;853;1301
27797026;38363244;27;328;691
51345945;31969346;32;960;490
22798006;23783750;28;182;219
38415798;38834885;27;693;703
29559271;34451036;25;388;575
23553134;32194285;26;210;502
23213239;30525261;26;192;426
31480508;35294456;53;470;614
29686754;34378493;31;394;571
460389;34215577;60;58;562
29302425;25153764;74;375;249
24098496;63731512;192;227;1119
50409684;25205856;88;943;251
29246653;29302425;47;373;375
43215063;48512305;25;814;908
78019879;33769500;46;1238;547
33393308;47206871;21;537;884
37119411;48940689;42;665;915
24098496;27973101;30;227;335
23148107;32194285;21;189;502
1177;38379853;28;10;692
28950133;41538339;35;363;771
31480508;37008294;58;470;660
91050183;56106344;23;1302;1027
24098496;35113021;33;227;601
37119411;52735667;24;665;980
39009769;40335272;27;706;738
40335272;32194285;20;738;502
