VKGroup_1;VkGroup_2;Quantity
57846937;37119411;89
22798006;26307864;29
30022666;24086381;34
17655824;63731512;88
36184135;37684434;47
22741624;56106344;22
37119411;71960446;24
29534144;35145657;39
22798006;34384434;46
34483558;29348258;21
12382740;30277672;31
1177;40335272;20
40498005;41538339;35
1388;90730773;20
78019879;24713873;30
30022666;28627911;23
36164349;29559271;27
25346844;20845272;30
26555975;11982368;98
65960786;23213239;38
32194285;34199707;39
43215063;28950133;23
34199707;40167434;35
22798006;46117626;27
25117353;45770903;36
33769500;31480508;32
1388;25346844;21
50409684;1177;32
78019879;15755094;77
28673372;30559917;34
36775085;40575907;38
32439535;36047336;21
29302425;35034571;28
36166073;34483558;29
23342771;33393308;23
33769500;36008740;20
32943546;52526415;23
34215577;34384434;52
25117353;38233726;27
25505149;37119411;21
29559271;31976785;104
1177;22822305;26
22798006;29246653;49
38379853;44759043;23
28477986;56106344;23
22522055;30315369;27
41437811;27932995;31
41525215;45613675;24
25346844;30525261;37
78019879;40202469;70
36184135;46117626;41
31976785;32370614;43
30022666;34483558;59
28950133;42092461;27
24098496;35486626;71
40567146;48319873;23
57846937;90730773;33
40167434;32194285;30
65960786;26307864;21
460389;40567146;46
32194285;37119411;148
40553536;31480508;20
28477986;25346844;26
38683579;39009769;62
31976785;34483558;45
25346844;34215577;58
27895931;55662720;20
113071474;29559271;34
30022666;45960892;30
30666517;33393308;43
29246653;36164349;24
998490;37119411;26
36166073;32194285;88
17655824;34168005;33
36166073;47679753;25
17655824;24098496;51
29246653;38379853;29
34168005;34483558;74
33769500;46117626;22
30022666;31976785;76
932;786;54
39009769;38379853;23
25117353;35718846;28
29573241;31976785;25
25153764;29302425;22
38233726;41053835;25
30666517;84793390;26
33621085;34116496;29
25346844;48940689;20
28477986;34215577;35
1177;46117626;21
29534144;25189523;20
37119411;39236729;27
108468;11982368;23
29573241;23213239;22
20629724;29302425;28
29559271;41807730;20
29534144;41774259;33
25421850;28673372;38
29686754;35486195;48
31976785;38379853;29
786;36147615;26
34305040;40167434;30
29534144;12382740;24
1177;57846937;38
23553134;35349905;23
29614963;37119411;28
57846937;24098496;38
29302425;24098496;182
26970810;32708863;25
25153764;29518065;26
29559271;34384434;58
36184135;32439535;24
43879004;48618580;22
38683579;52905059;51
12382740;31480508;43
41437811;28950133;46
25752703;35349905;27
73476;29559271;35
23213239;41041067;24
23213239;38233726;20
34199707;41053835;24
38683579;23626127;24
38379853;48618580;25
40167434;40886007;24
30022666;32370614;35
29559271;22522055;23
22741084;31976785;26
20225241;22822305;44
15365973;30666517;20
31480508;32370614;42
34168005;90730773;28
57846937;112510789;24
29559271;35364891;22
78019879;34378493;20
786;28950133;24
29559271;34215577;78
36184135;44759043;41
17655824;25276999;35
25346844;53782768;28
56106344;31480508;36
34168005;35349905;34
25817269;34274053;36
22822305;33393308;53
32194285;32439535;60
33338722;41053835;32
41437811;19799369;22
41053835;42307767;29
36166073;24713873;24
29559271;28950133;57
36166073;29559271;43
26970810;34483558;33
43215063;30022666;31
25346844;39321576;25
65960786;33338722;24
26555975;77947518;31
41437811;28627911;26
24713873;33769500;24
25679656;33080201;21
30666517;40575907;23
29302425;30666517;40
69589815;1388;83
41437811;45745333;20
32439535;46117626;24
26750264;29302425;51
29559271;40335272;26
22822305;90730773;23
41538339;42307767;32
460389;36184135;33
32194285;34378493;29
31480508;108468;35
38683579;40498005;42
79863581;40167434;20
932;22822305;57
1388;20845272;33
22798006;28761941;20
25153764;30328106;22
1177;28627911;42
78019879;36184135;40
36184135;39728801;21
29686754;32439535;43
20845272;45938293;21
29534144;38228449;20
24565142;36184135;24
65960786;15755094;35
26750264;30328106;21
1177;28477986;22
78019879;50409684;156
34483558;48210134;36
34215577;26307864;27
38379853;90730773;45
30022666;65960786;64
29518065;36775085;28
25117353;90730773;44
28122932;36507793;24
41053835;48210134;26
28950133;36184135;43
37119411;40567146;39
27895931;36959676;20
36164349;29302425;24
460389;23783750;36
35059398;36184135;25
31976785;25117353;50
24098496;26127512;104
40167434;35349905;33
29559271;36941068;40
29302425;30953300;20
2158488;30666517;20
58170807;36184135;21
34483558;45770903;31
37119411;75881140;20
40167434;23553134;22
34116496;63731512;85
57846937;103027469;35
29302425;34137285;41
36959676;29559271;38
26127512;30559917;22
30022666;29302425;70
36184135;40020627;33
38683579;41437811;84
31976785;43772432;23
25679656;28673372;20
36775085;41827660;43
32041317;34116496;30
36047336;37119411;49
25117353;41041067;32
28673372;29348258;31
23626127;26127512;34
29302425;40167434;91
23148107;29435908;20
87153802;25232578;25
1388;30666517;34
40567146;65960786;21
22798006;34378493;23
25421850;38233726;28
33338722;25117353;21
12648877;28950133;31
1388;54530371;29
17655824;37119411;101
36959676;26307864;23
29559271;27932995;20
34168005;41053835;41
36184135;48618580;39
23553134;30315369;54
2158488;34168005;21
29534144;23482909;67
26669118;39009769;20
29686754;34451036;21
22798006;30602036;34
36959676;27797026;30
12382740;41437811;36
25117353;20845272;25
24565142;37119411;79
29246653;45938293;22
12382740;45960892;23
26555975;22798006;32
57846937;12382740;60
932;29534144;82
29302425;37119411;223
38683579;31935454;22
33769500;36941068;25
33769500;39236729;23
23213239;34274053;57
22822305;40575907;20
48319873;31480508;22
57846937;36941068;23
26555975;34384434;24
460389;39236729;27
31752409;34274053;29
24098496;29534144;79
6136139;22741084;21
90730773;40167434;21
24098496;26858816;42
34199707;45613675;23
20629724;16108331;20
29559271;90730773;64
36184135;17655824;21
41437811;56106344;72
30022666;26776509;24
460389;28477986;34
22798006;35486195;36
24098496;33080201;44
40553536;29559271;24
29690457;32194285;41
25189523;36147615;24
20845272;23553134;25
33769500;79863581;27
29246653;36147615;32
36184135;24098496;26
26555975;32041317;57
36164349;30022666;33
2158488;11283947;26
90730773;31480508;23
29559271;30277672;23
12382740;32194285;20
460389;38233726;24
24713873;37119411;61
34483558;37119411;77
50409684;26555975;72
36166073;36941068;21
932;20225241;57
30022666;34378493;20
29573241;56106344;26
26127512;36147615;25
40498005;46117626;27
38683579;54530371;24
29302425;17655824;104
34215577;43772432;27
1177;40498005;28
41437811;40567146;32
22798006;29435908;20
460389;32439535;21
40498005;29686754;20
34215577;32194285;58
29534144;26127512;33
29302425;79863581;42
29302425;36164349;25
26555975;28950133;45
24713873;25873533;20
34168005;45770903;31
30022666;32194285;111
20629724;22522055;28
78019879;1177;128
73476;33393308;20
1388;26750264;22
27725748;38363244;21
33080201;37119411;42
22798006;23213239;43
11283947;15365973;20
36147615;40167434;69
25679656;26127512;26
103027469;31480508;22
34274053;54530371;34
35294456;36184135;24
26858816;30559917;20
26555975;24565142;42
12382740;30602036;37
22522055;33393308;28
69589815;20629724;37
39009769;40498005;23
29302425;23475118;31
38683579;24713873;27
79863581;37119411;31
24098496;23626127;64
33769500;50409684;20
34274053;48940689;32
23482909;1672730;21
1388;12382740;30
41437811;30277672;21
65960786;112510789;21
1388;57846937;29
73476;34168005;28
1388;44759043;25
25336774;63731512;47
29686754;38379853;39
41437811;15755094;51
25276999;34116496;23
28950133;34199707;32
34116496;35169624;22
26555975;38834885;33
32194285;34384434;41
22798006;28627911;42
29534144;24713873;20
26555975;34274053;69
24098496;28122932;44
40167434;34274053;44
30022666;32509740;50
20629724;23242408;20
25817269;63731512;35
25346844;35486195;39
26750264;34168005;37
20845272;786;20
36184135;38834885;28
460389;30602036;40
15365973;33393308;27
41437811;34384434;33
12382740;30022666;54
17655824;30666517;28
22522055;30666517;23
40553536;56106344;26
125004421;29534144;57
29246653;40335272;28
22822305;39009769;20
36166073;34199707;20
34116496;36507793;43
30022666;35113021;26
69589815;29534144;36
31920990;36184135;21
1388;36184135;29
38683579;25346844;35
24098496;38233726;57
23213239;27797026;38
34199707;37119411;58
1177;38683579;66
57846937;36959676;22
36959676;40567146;20
40498005;41053835;37
33769500;31547740;20
24098496;29246653;70
460389;40498005;22
58170807;113071474;26
25153764;39321576;41
25336774;69563163;22
36184135;20845272;22
26419239;36184135;20
1388;32194285;32
28556858;34598021;20
25346844;24565142;29
36047336;41818823;35
34116496;55051302;27
35113021;36147615;26
23475118;37119411;44
36164349;36775085;22
25276999;34274053;25
460389;90730773;32
34116496;34274053;71
36147615;41827660;62
27121021;36775085;20
29534144;30666517;94
460389;25346844;52
27895931;22798006;26
29246653;32439535;23
24098496;17655824;103
23482909;36507793;39
40020627;46117626;27
23148107;29559271;37
30022666;64497138;22
125004421;30022666;39
29302425;48149358;27
65960786;44759043;27
23553134;24565142;42
30447908;37119411;32
37119411;4829;21
1177;22798006;44
932;94;136
29686754;32194285;92
460389;26127512;26
28950133;26307864;27
23213239;64497138;21
28950133;15755094;28
25153764;40575907;26
22798006;43772432;28
29559271;12648877;31
38683579;48946342;24
29559271;65960786;41
1177;58170807;21
33393308;34274053;53
33621085;38379853;23
27121021;40167434;20
24098496;35349905;106
24098496;29559271;134
29302425;36047336;31
41538339;17655824;22
26858816;28950133;45
29302425;14897324;20
932;29302425;29
39009769;39321576;27
41437811;36959676;23
36184135;51189706;25
103027469;40567146;23
22822305;57846937;21
57846937;34274053;52
69589815;30666517;27
29559271;30525261;88
25153764;34116496;44
41538339;37119411;34
29559271;14897324;28
28477986;27725748;20
36959676;41525215;22
34137285;34168005;26
23611958;29559271;30
29559271;34137285;27
29302425;36775085;78
36166073;26858816;22
25346844;43772432;29
25346844;52537634;22
41041067;41538339;37
23475118;34274053;29
29302425;40335272;34
29302425;28122932;34
20845272;28772416;23
20629724;25276999;26
25752703;44759043;26
29348258;41538339;20
108468;33621085;20
27895931;90730773;23
29534144;55051302;20
23626127;40886007;20
25346844;31976785;37
36164349;28950133;36
25421850;26127512;36
22798006;43879004;33
25189523;35113021;22
31480508;90730773;32
36775085;37119411;107
51345945;31469754;36
1177;31480508;27
22741084;30559917;23
33080201;35113021;20
38683579;36775085;44
33769500;25421850;31
25117353;29348258;39
23148107;45960892;22
17655824;28673372;20
26858816;28627911;21
51345945;37119411;51
36775085;95543604;27
20629724;22822305;54
37119411;41053835;58
26127512;35486626;20
29534144;29604206;31
30022666;29559271;92
28627911;11982368;25
1177;12382740;20
932;17655824;51
1177;32194285;91
29559271;25117353;89
34168005;40498005;22
34483558;90730773;22
26555975;32342123;34
41041067;30559917;24
36047336;38683579;26
23213239;30559917;35
25817269;35349905;39
34451036;38379853;21
25679656;36184135;21
25189523;34274053;38
29302425;40018862;23
33769500;34116496;28
159415165;29559271;22
30022666;35349905;62
20629724;26750264;33
1177;34116496;36
33080201;34274053;32
12382740;26419239;24
33080201;34199707;30
1388;41437811;22
108468;29302425;35
29302425;49932389;20
38683579;36147615;37
29302425;28673372;36
33080201;36147615;33
33301261;36184135;31
78019879;51345945;63
33393308;34116496;60
26858816;28673372;24
22741084;26858816;21
20629724;30666517;106
125004421;9471321;23
32943546;38415798;20
27797026;36147615;45
48319873;29559271;37
22741624;23148107;23
33338722;34305040;54
29246653;43879004;20
23213239;28950133;50
17655824;1672730;20
27895931;28950133;38
29559271;35486195;47
29559271;45938293;87
43215063;32370614;20
29559271;1672730;26
32015300;34274053;26
78019879;32194285;53
36045680;36209322;21
25346844;39236729;25
